episode,reward
0,-0.509
100,-0.5015
200,-0.52475
300,-0.49525
400,-0.49625
500,-0.4905
600,-0.49025
700,-0.51625
800,-0.5035
900,-0.517
1000,-0.508
1100,-0.4875
1200,-0.4985
1300,-0.50875
1400,-0.5095
1500,-0.504
1600,-0.49125
1700,-0.499
1800,-0.50175
1900,-0.5115
2000,-0.48825
2100,-0.50275
2200,-0.51225
2300,-0.50275
2400,-0.49375
2500,-0.52
2600,-0.49725
2700,-0.478
2800,-0.481
2900,-0.512
3000,-0.515
3100,-0.5105
3200,-0.49925
3300,-0.48525
3400,-0.4965
3500,-0.50475
3600,-0.4785
3700,-0.482
3800,-0.51225
3900,-0.513
4000,-0.50425
4100,-0.49725
4200,-0.495
4300,-0.51025
4400,-0.5105
4500,-0.49825
4600,-0.516
4700,-0.5145
4800,-0.49825
4900,-0.484
