episode,reward
0,-1.129
100,-1.16125
200,-1.15075
300,-1.221
400,-1.242
500,-1.148
600,-1.15575
700,-1.15125
800,-1.13225
900,-1.15975
1000,-1.1045
1100,-1.201
1200,-1.26075
1300,-1.175
1400,-1.17975
1500,-1.18075
1600,-1.241
1700,-1.12525
1800,-1.11675
1900,-1.1505
2000,-1.367
2100,-1.147
2200,-1.32825
2300,-1.30025
2400,-1.2085
2500,-1.131
2600,-1.11275
2700,-1.2135
2800,-1.26975
2900,-1.2695
3000,-1.13025
3100,-1.2275
3200,-1.20575
3300,-1.15175
3400,-1.2
3500,-1.21975
3600,-1.1325
3700,-1.19825
3800,-1.18125
3900,-1.14175
4000,-1.216
4100,-1.197
4200,-1.10625
4300,-1.14975
4400,-1.125
4500,-1.24025
4600,-1.07675
4700,-1.144
4800,-1.07125
4900,-1.22875
