episode,reward
0,-0.01725
100,0.01925
200,-0.02025
300,-0.0795
400,-0.00425
500,-0.085
600,0.016
700,0.067
800,0.01175
900,-0.04375
1000,0.00975
1100,-0.0435
1200,0.00175
1300,0.00875
1400,-0.01025
1500,-0.008
1600,0.03475
1700,0.019
1800,0.01175
1900,-0.02
2000,-0.01625
2100,0.001
2200,0.06725
2300,-0.01525
2400,0.0105
2500,-0.0135
2600,-0.0325
2700,0.01675
2800,0.00825
2900,-0.01425
3000,0.0135
3100,-0.0295
3200,0.00875
3300,-0.01025
3400,0.018
3500,0.04425
3600,0.044
3700,0.0355
3800,0.01225
3900,-0.0135
4000,0.02
4100,-0.02775
4200,-0.054
4300,0.00875
4400,0.02475
4500,0.0765
4600,-0.01725
4700,0.03975
4800,0.01325
4900,0.0215
